Id_comuna;Id_comisaria;Nombre_comisaria;Direccion;Fono;Tipo;;;;;
15101;1;5TA COMISARIA CONTROL ORDEN PUBLICO;18 DE SEPTIEMBRE N 960;582458169;COMISARIA;;;;;
15101;2;4A. COMISARiA CHACALLUTA;RUTA 5 NORTE KM 2086;582458200;COMISARIA;;;;;
15101;3;3A. COMISARIA ARICA;AVENIDA LOA N 1475;582458132;COMISARIA;;;;;
15101;4;1A. COMISARIA ARICA;AVENIDA SANTA MARIA N 900;582458082;COMISARIA;;;;;
15101;5;SUBCOMISARiA I.A.T. ARICA;DIECIOCHO DE SEPTIEMBRE N 1960;582458050;SUBCOMISARIA;;;;;
15101;6;SUBCOMISARiA CHINCHORRO NORTE;CALLE ANDALIEN N∞ 837;582452157;SUBCOMISARIA;;;;;
15101;7;RETEN SAN MIGUEL DE AZAPA;RUTA A27 KM 12;582458164;RETEN;;;;;
15101;8;RETEN POCONCHILE (F);RUTA CH11 KM 27;582458153;RETEN;;;;;
15101;9;RETEN CENTRAL (F);VEINTIUNO DE MAYO S/N;582458154;RETEN;;;;;
15102;10;RETEN CODPA;RUTA A35 KM. 47;582458163;RETEN;;;;;
15102;11;TENENCIA CARRETERA ARICA;RUTA 5 NORTE KM 1968;582458166;TENENCIA;;;;;
15201;12;2A. COMISARIA PUTRE;ERNESTO RIQUELME N∞ 298;582458101;COMISARIA;;;;;
15201;13;TENENCIA CHUNGARA (F);RUTA CH11 KM 185;582458122;TENENCIA;;;;;
15201;14;RETEN CHUCUYO (F);RUTA CH11 KM 159;582458126;RETEN;;;;;
15201;15;RETEN CHAPIQUINA;RUTA A31, KM 150.600;582458116;RETEN;;;;;
15201;16;RETEN GUALLATIRE (F);RUTA A95 KM. 137;582458127;RETEN;;;;;
15202;17;TENENCIA VISVIRI (F);RUTA A093 KM. 92;582458118;TENENCIA;;;;;
15202;18;RETEN TACORA (F);RUTA A023 KM. 70;582458120;RETEN;;;;;
15202;19;RETEN ALCERRECA (F);AV. GOBERNADOR COBO S/N;582458121;RETEN;;;;;
1101;20;5TA COMISARIA CONTROL ORDEN PUBLICO;CALLE PEDRO LAGOS NRO. 1034;572557108;COMISARIA;;;;;
1101;21;1A. COMISARiA DE IQUIQUE;CALLE BERNARDO O HIGGINS N 427;572557041;COMISARIA;;;;;
1101;22;4A. COMISARiA CAVANCHA;AVDA. SALVADOR ALLENDE S/N ESQUINA PEDRO GAMBONI;572557301;COMISARIA;;;;;
1101;23;TENENCIA DE CARRETERAS IQUIQUE;RUTA 5 NORTE 1840, Huara;572557142;TENENCIA;;;;;
1101;24;RETEN CHANAVAYITA (M.C.);RUTA 1, ESTRELLA DEL MAR, MANZANA 2, SITIO 3 S/N;572557070;RETEN;;;;;
1101;25;RETEN RIO LOA M.A.;RUTA A 1 KILoMETRO 266;572557114;RETEN;;;;;
1107;26;3A. COMISARiA DE ALTO HOSPICIO;AVDA. TENIENTE HERNAN MERINO CORREA N 3961;572557156;COMISARIA;;;;;
1401;27;2A. COMISARiA POZO ALMONTE;CALLE COMERCIO N 652;572557118;COMISARIA;;;;;
1401;28;SUBCOMISARiA I.A.T. IQUIQUE;CALLE JOSe DE SAN MARTiN N 499;572557081;SUBCOMISARIA;;;;;
1401;29;RETEN LA TIRANA;AV. CIRCUNVALACIoN N 751;572557134;RETEN;;;;;
1401;30;RETEN MAMINA;AV. EL TAMBO S/N;572557132;RETEN;;;;;
