Id_Comuna;Comuna;Establecimiento;Pertenecencia;Direccion;Id_Comuna;Nombre_Comuna
15101;Arica;Actividades Gestionadas por la Direccion del Servicio para apoyo de la Red SS de Arica;Publico;Calle Arturo Prat 305;1101;Iquique
15101;Arica;PRAIS SS Arica;Publico;Calle Arturo Prat 305;1107;Alto Hospicio
15101;Arica;Clinica Dental Movil Simple Pat PW4076 Arica;Publico;Calle Arturo Prat 305;1401;Pozo Almonte
15101;Arica;Oficina Sanitaria Chacalluta;Publico;No hay informacion;1402;Camina
15101;Arica;Hospital Dr Juan Noe Crevanni Arica;Publico;Calle 18 de Septiembre 1000;1403;Colchane
15101;Arica;Clinica Hebe;Privado;Calle San Marcos 431;1404;Huara
15101;Arica;Clinica San Agustin;Privado;Calle 21 de Mayo 720;1405;Pica
15101;Arica;Clinica San Jose;Privado;Calle Juan Noe 1370;2101;Antofagasta
15101;Arica;Clinica Arica;Privado;Avenida Argentina 2249;2102;Mejillones
15101;Arica;Complejo Penitenciario;Privado;No hay informacion;2103;Sierra Gorda
15101;Arica;Servicio Medico Estudiantil;Privado;Calle 18 de Septiembre 2222;2104;Taltal
15101;Arica;Centro Clinico Militar Arica;Privado;Avenida Gral. Velasquez 1700;2201;Calama
15101;Arica;Policlinico del Trabajador AChS Arica;Privado;Calle Juan Noe 1367;2202;Ollag�e
15101;Arica;Instituto de Rehabilitacion Infantil TELEToN Arica;Privado;Avenida Diego Portales 2471;2203;San Pedro de Atacama
15101;Arica;Centro Medico Monte Sinai;Privado;Calle Esmeralda 1319;2301;Tocopilla
15101;Arica;Clinica Santo Domingo;Privado;Calle Campo Verde 2188;2302;Maria Elena
15101;Arica;Centro Integral de Salud;Privado;Calle Vicuna Mackenna 644;3101;Copiapo
15101;Arica;Policlinico Institucional de Gendarmeria de Chile Arica;Privado;Calle Colon 30;3102;Caldera
15101;Arica;Policlinico del Agricultor;Privado;Avenida Manuel Castillo Ibaceta 3431;3103;Tierra Amarilla
15101;Arica;Centro Odontologico Arisa;Privado;Calle Ricardo Silva Arriagada 482;3201;Chanaral
15101;Arica;Centro de Salud Mutual CChC Arica;Privado;Avenida Argentina 2247;3202;Diego de Almagro
15101;Arica;Centro Dental Megasalud SpA;Privado;Calle San Marcos 121;3301;Vallenar
15101;Arica;Clinica Dr Hector Sanchez;Privado;Calle 18 de Septiembre 1286;3302;Alto del Carmen
15101;Arica;Clinica Mella Arica y Compania Ltda;Privado;Calle Almirante Latorre 565;3303;Freirina
15101;Arica;Policlinico Medico-Dental de Carabineros;Privado;Calle 18 de Septiembre 1672;3304;Huasco
15101;Arica;Laboratorio Clinico San Jose Ltda;Privado;Calle Juan Noe 1325;4101;La Serena
15101;Arica;Laboratorio Bionet;Privado;Calle 18 de Septiembre 1375;4102;Coquimbo
15101;Arica;Laboratorio Clinico y Hematologico Diagnotest;Privado;Calle Arturo Gallo 455;4103;Andacollo
15101;Arica;Laboratorio Clinico Central;Privado;Calle Almirante Latorre 580;4104;La Higuera
15101;Arica;Laboratorio Clinico San Martin;Privado;Calle Colon 330;4105;Paiguano
15101;Arica;Laboratorio Clinico Dialab;Privado;Calle 18 de Septiembre 933;4106;Vicuna
15101;Arica;Laboratorio Clinico del Norte - Labonorte;Privado;Calle Covadonga 286;4201;Illapel
15101;Arica;Laboratorio Clinico Chungara;Privado;Calle 18 de Septiembre 1315;4202;Canela
15101;Arica;Laboratorio Clinico Biolascer;Privado;Calle 18 de Septiembre 1338;4203;Los Vilos
15101;Arica;Centro de Salud Familiar Victor Bertin Soto;Publico;Calle Belen 1635;4204;Salamanca
15101;Arica;Centro de Salud Familiar Dr Amador Neghme de Arica;Publico;Calle Cancha Rayada 4149;4301;Ovalle
15101;Arica;Centro de Salud Familiar E U Iris Veliz Hume Ex Oriente;Publico;Avenida Las Torres 2699;4302;Combarbala
15201;Putre;Centro de Salud Familiar Putre;Publico;Calle Baquedano 261;4303;Monte Patria
15101;Arica;Centro de Salud Familiar Remigio Sapunar;Publico;Calle Silva Arriagada 1020;4304;Punitaqui
15101;Arica;Centro de Salud Ambiental de Arica;Publico;Calle San Martin 253;4305;Rio Hurtado
15101;Arica;Centro de Salud Familiar Eugenio Petruccelli Astudillo ex Punta Norte;Publico;Avenida Linderos Poniente 4752;5101;Valparaiso
15101;Arica;Posta de Salud Rural San Miguel de Azapa;Publico;No hay informacion;5102;Casablanca
15101;Arica;Posta de Salud Rural Poconchile;Publico;No hay informacion;5103;Con Con
15201;Putre;Posta de Salud Rural Belen Putre;Publico;No hay informacion;5104;Juan Fernandez
15202;General Lagos;Posta de Salud Rural Visviri;Publico;No hay informacion;5105;Puchuncavi
15202;General Lagos;Posta de Salud Rural Alcerreca;Publico;No hay informacion;5107;Quintero
15102;Camarones;Posta de Salud Rural Codpa;Publico;No hay informacion;5109;Vina del Mar
15201;Putre;Posta de Salud Rural Ticnamar;Publico;No hay informacion;5201;Isla de Pascua
15101;Arica;Posta de Salud Rural Sobraya;Publico;No hay informacion;5301;Los Andes
15101;Arica;Centro de Salud Mental Comunitaria Norte;Publico;No hay informacion;5302;Calle Larga
15101;Arica;ESSMA Sur de Arica;Publico;Calle San Martin 235;5303;Rinconada
15101;Arica;Centro Comunitario de Salud Familiar Dr Miguel Massa;Publico;Calle Francisco Urzua 4241;5304;San Esteban
15101;Arica;Centro Comunitario de Salud Familiar Dr Rene Garcia Valenzuela;Publico;Calle Capitan avalos 1462;5401;La Ligua
15101;Arica;Centro Comunitario de Salud Familiar Cerro La Cruz;Publico;Calle Rafael Sotomayor 1496;5402;Cabildo
15101;Arica;Policlinico Instituto de Seguridad del Trabajo;Privado;Calle 18 de Septiembre 1266;5403;Papudo
15101;Arica;SAPU Marco Antonio Carvajal Moreno;Publico;Avenida Cancha Rayada 4149;5404;Petorca
15101;Arica;SAPU Iris Veliz Hume;Publico;Calle Barros Luco 2269;5405;Zapallar
15101;Arica;Centro Medico Lifemed;Privado;Calle Covadonga 286;5501;Quillota
1101;Iquique;Policlinico Centro de Cumplimiento Penitenciario Iquique;Privado;No hay informacion;5502;Calera
1401;Pozo Almonte;Policlinico de Atencion Primaria del Centro de Detencion Preventiva de Pozo Almonte;Privado;Calle Libertad 624;5503;Hijuelas
1404;Huara;SAPU Huara;Publico;No hay informacion;5504;La Cruz
