Unidad territorial, Variable, 2023
General Lagos (Región de Arica y Parinacota), Total Docentes, 17.0
Putre (Región de Arica y Parinacota), Total Docentes, 35.0
Arica (Región de Arica y Parinacota), Total Docentes, 3558.0
Camarones (Región de Arica y Parinacota), Total Docentes, 28.0
Colchane, Total Docentes, 28.0
Camiña, Total Docentes, 36.0
Huara, Total Docentes, 73.0
Iquique, Total Docentes, 2734.0
Pozo Almonte, Total Docentes, 261.0
Alto Hospicio, Total Docentes, 1608.0
Pica, Total Docentes, 147.0
Ollagüe, Total Docentes, 9.0
Tocopilla, Total Docentes, 365.0
María Elena, Total Docentes, 79.0
Calama, Total Docentes, 2201.0
Sierra Gorda, Total Docentes, 43.0
San Pedro De Atacama, Total Docentes, 153.0
Mejillones, Total Docentes, 160.0
Antofagasta, Total Docentes, 4795.0
Taltal, Total Docentes, 187.0
Chañaral, Total Docentes, 219.0
Diego De Almagro, Total Docentes, 246.0
Caldera, Total Docentes, 285.0
Isla De Pascua, Total Docentes, 164.0
Copiapó, Total Docentes, 2327.0
Tierra Amarilla, Total Docentes, 188.0
Huasco, Total Docentes, 176.0
Freirina, Total Docentes, 110.0
Vallenar, Total Docentes, 915.0
Alto Del Carmen, Total Docentes, 100.0
La Higuera, Total Docentes, 89.0
La Serena, Total Docentes, 4482.0
Coquimbo, Total Docentes, 3383.0
Paiguano, Total Docentes, 119.0
Vicuña, Total Docentes, 512.0
Andacollo, Total Docentes, 195.0
Río Hurtado, Total Docentes, 87.0
Ovalle, Total Docentes, 1958.0
Monte Patria, Total Docentes, 448.0
Punitaqui, Total Docentes, 227.0
Combarbalá, Total Docentes, 236.0
Canela, Total Docentes, 134.0
Illapel, Total Docentes, 558.0
Salamanca, Total Docentes, 444.0
Los Vilos, Total Docentes, 352.0
Petorca, Total Docentes, 220.0
Cabildo, Total Docentes, 395.0
La Ligua, Total Docentes, 598.0
Papudo, Total Docentes, 92.0
Zapallar, Total Docentes, 179.0
Putaendo, Total Docentes, 286.0
Puchuncaví, Total Docentes, 286.0
Nogales, Total Docentes, 306.0
Santa María, Total Docentes, 208.0
San Felipe, Total Docentes, 1467.0
Panquehue, Total Docentes, 157.0
Catemu, Total Docentes, 234.0
Quintero, Total Docentes, 423.0
Calera, Total Docentes, 869.0
Hijuelas, Total Docentes, 282.0
San Esteban, Total Docentes, 204.0
La Cruz, Total Docentes, 195.0
Los Andes, Total Docentes, 1143.0
Llaillay, Total Docentes, 479.0
Rinconada, Total Docentes, 140.0
Calle Larga, Total Docentes, 295.0
Quillota, Total Docentes, 1627.0
Concón, Total Docentes, 745.0
Olmué, Total Docentes, 236.0
Limache, Total Docentes, 770.0
Viña Del Mar, Total Docentes, 4929.0
Valparaíso, Total Docentes, 4301.0
Villa Alemana, Total Docentes, 1730.0
Quilpué, Total Docentes, 2622.0
Tiltil, Total Docentes, 312.0
Colina, Total Docentes, 2697.0
Lampa, Total Docentes, 1290.0
Casablanca, Total Docentes, 526.0
Lo Barnechea, Total Docentes, 2174.0
Quilicura, Total Docentes, 2240.0
Huechuraba, Total Docentes, 961.0
Algarrobo, Total Docentes, 207.0
Conchalí, Total Docentes, 1284.0
Vitacura, Total Docentes, 1731.0
Curacaví, Total Docentes, 459.0
Renca, Total Docentes, 1564.0
Recoleta, Total Docentes, 2134.0
El Quisco, Total Docentes, 202.0
Independencia, Total Docentes, 1110.0
Las Condes, Total Docentes, 3616.0
Cerro Navia, Total Docentes, 1215.0
Quinta Normal, Total Docentes, 1648.0
Providencia, Total Docentes, 2193.0
Pudahuel, Total Docentes, 1836.0
La Reina, Total Docentes, 1733.0
Lo Prado, Total Docentes, 763.0
Santiago, Total Docentes, 5125.0
El Tabo, Total Docentes, 120.0
Ñuñoa, Total Docentes, 2737.0
Estación Central, Total Docentes, 1543.0
Peñalolén, Total Docentes, 2668.0
Macul, Total Docentes, 1103.0
Pedro Aguirre Cerda, Total Docentes, 1040.0
San Joaquín, Total Docentes, 854.0
San Miguel, Total Docentes, 1580.0
Cerrillos, Total Docentes, 860.0
Maipú, Total Docentes, 5197.0
María Pinto, Total Docentes, 187.0
Lo Espejo, Total Docentes, 915.0
La Florida, Total Docentes, 4502.0
La Cisterna, Total Docentes, 1576.0
La Granja, Total Docentes, 1294.0
Cartagena, Total Docentes, 417.0
San Ramón, Total Docentes, 944.0
El Bosque, Total Docentes, 2110.0
Padre Hurtado, Total Docentes, 829.0
La Pintana, Total Docentes, 2240.0
San Bernardo, Total Docentes, 3705.0
Puente Alto, Total Docentes, 6204.0
Peñaflor, Total Docentes, 1123.0
Calera De Tango, Total Docentes, 407.0
Pirque, Total Docentes, 331.0
Juan Fernández, Total Docentes, 32.0
San José De Maipo, Total Docentes, 247.0
Santo Domingo, Total Docentes, 180.0
Talagante, Total Docentes, 1491.0
San Antonio, Total Docentes, 1504.0
El Monte, Total Docentes, 480.0
Melipilla, Total Docentes, 1920.0
Buin, Total Docentes, 1484.0
Isla De Maipo, Total Docentes, 514.0
Paine, Total Docentes, 1082.0
San Pedro, Total Docentes, 164.0
Navidad, Total Docentes, 115.0
Mostazal, Total Docentes, 382.0
Codegua, Total Docentes, 153.0
Alhué, Total Docentes, 126.0
Graneros, Total Docentes, 613.0
Litueche, Total Docentes, 106.0
Rancagua, Total Docentes, 3550.0
Machalí, Total Docentes, 904.0
Doñihue, Total Docentes, 356.0
La Estrella, Total Docentes, 37.0
Olivar, Total Docentes, 163.0
Coinco, Total Docentes, 95.0
Requínoa, Total Docentes, 271.0
Las Cabras, Total Docentes, 400.0
Coltauco, Total Docentes, 356.0
Quinta De Tilcoco, Total Docentes, 219.0
Pichidegua, Total Docentes, 268.0
Peumo, Total Docentes, 214.0
Pichilemu, Total Docentes, 300.0
Marchihue, Total Docentes, 129.0
Rengo, Total Docentes, 991.0
San Vicente, Total Docentes, 780.0
Malloa, Total Docentes, 167.0
Peralillo, Total Docentes, 148.0
Palmilla, Total Docentes, 132.0
San Fernando, Total Docentes, 1423.0
Pumanque, Total Docentes, 55.0
Placilla, Total Docentes, 133.0
Santa Cruz, Total Docentes, 799.0
Paredones, Total Docentes, 109.0
Nancagua, Total Docentes, 256.0
Chimbarongo, Total Docentes, 637.0
Lolol, Total Docentes, 104.0
Chépica, Total Docentes, 219.0
Teno, Total Docentes, 481.0
Vichuquén, Total Docentes, 81.0
Rauco, Total Docentes, 135.0
Romeral, Total Docentes, 246.0
Hualañé, Total Docentes, 176.0
Curicó, Total Docentes, 2688.0
Licantén, Total Docentes, 158.0
Sagrada Familia, Total Docentes, 253.0
Curepto, Total Docentes, 156.0
Molina, Total Docentes, 724.0
Río Claro, Total Docentes, 211.0
San Rafael, Total Docentes, 155.0
Constitución, Total Docentes, 828.0
Pelarco, Total Docentes, 172.0
Pencahue, Total Docentes, 103.0
Talca, Total Docentes, 4206.0
Maule, Total Docentes, 470.0
San Clemente, Total Docentes, 740.0
Empedrado, Total Docentes, 76.0
San Javier, Total Docentes, 908.0
Villa Alegre, Total Docentes, 265.0
Colbún, Total Docentes, 344.0
Chanco, Total Docentes, 148.0
Yerbas Buenas, Total Docentes, 248.0
Pelluhue, Total Docentes, 146.0
Linares, Total Docentes, 1920.0
Longaví, Total Docentes, 469.0
Cauquenes, Total Docentes, 724.0
Retiro, Total Docentes, 411.0
Cobquecura (Región del Ñuble), Total Docentes, 98.0
