AGNO_EVAL;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;ESTADO_ESTAB;MRUN;DOC_GENERO;DOC_FEC_NAC;NIVEL;PF_PJE;PF_ESC;PF_Cat_Carrera;INSTR_PJE;INSTR_ESC
2021;1;9;LICEO POLITECNICO ARICA;15;151;15101;ARICA;151;ARICA;6;5;0;1;22430522;2;197009;EMTP;2,39;B;C;2,73;C
2021;2;7;PARVULARIO LAS ESPIGUITAS;15;151;15101;ARICA;151;ARICA;6;5;0;1;2079332;2;197811;EE;1,88;I;E;2,33;B
2021;2;7;PARVULARIO LAS ESPIGUITAS;15;151;15101;ARICA;151;ARICA;6;5;0;1;20411562;2;197412;EP;2,33;B;C;3;C
2021;2;7;PARVULARIO LAS ESPIGUITAS;15;151;15101;ARICA;151;ARICA;6;5;0;1;23980662;2;198810;EP;2,53;C;B;3,12;D
2021;2;7;PARVULARIO LAS ESPIGUITAS;15;151;15101;ARICA;151;ARICA;6;5;0;1;24974826;2;196012;EP;2,33;B;C;2,6;C
2021;5;1;JOVINA NARANJO FERNANDEZ;15;151;15101;ARICA;151;ARICA;6;5;0;1;615911;1;197605;EM;3,06;D;A;3,24;D
2021;5;1;JOVINA NARANJO FERNANDEZ;15;151;15101;ARICA;151;ARICA;6;5;0;1;7685538;2;198212;SC;3,15;D;A;3,29;D
2021;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;151;15101;ARICA;151;ARICA;6;5;0;1;2331514;2;199005;EM;2,71;C;B;2,93;C
2021;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;151;15101;ARICA;151;ARICA;6;5;0;1;3908132;2;198805;EM;2,4;B;C;2,54;C
2021;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;151;15101;ARICA;151;ARICA;6;5;0;1;10343989;1;198410;EMTP;2,38;B;C;2,73;C
2021;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;151;15101;ARICA;151;ARICA;6;5;0;1;10515547;2;198807;EM;2,38;B;C;2,73;C
2021;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;151;15101;ARICA;151;ARICA;6;5;0;1;11209698;1;199403;EM;2,6;C;B;2,86;C
2021;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;151;15101;ARICA;151;ARICA;6;5;0;1;13329189;1;198507;EMTP;2,37;B;C;2,72;C
2021;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;151;15101;ARICA;151;ARICA;6;5;0;1;13426694;1;196510;EMTP;2,39;B;C;2,73;C
