OBJECTID_1,OBJECTID,CUT,REGION,PROVINCIA,COMUNA,AREA_C,COD_URBANO,TIPO_EP,NOMBRE_EP,OBSERVACIO,SUP_TOTAL_,SUP_VEGETA,GRUPO_URB,USO,TIPO_TAMAN,ID_AV,ADM,Shape__Area,Shape__Length
1,1,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,LAS CABRAS, ,951.351317, ,1,PÚBLICO,PLAZA,110110002,Otros,951.351317,135.439686041212
2,2,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA, , ,1340.70569859, ,1,PÚBLICO,PLAZA,110110004,Otros,1340.705698625,236.394325055492
3,3,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,EL PESCADOR, ,995.61491853, ,1,PÚBLICO,PLAZA,110110005,Otros,995.614918525,136.235919406939
4,4,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA, , ,559.44199345, ,1,PÚBLICO,PLAZA,110110012,Otros,559.44199347,134.577860432926
5,5,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,MIRADOR, ,5193.65115321, ,1,PÚBLICO,PLAZA,110110013,Otros,5193.65115317,535.528908353704
6,6,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,SAN CARLOS, ,1657.22207861, ,1,PÚBLICO,PLAZA,110110014,Otros,1657.22207861,165.953375016703
7,7,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,SAN LORENZO, ,2694.59807606, ,1,PÚBLICO,PLAZA,110110015,Otros,2694.598076045,234.581287848181
8,8,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,ARICA, ,2490.15530045, ,1,PÚBLICO,PLAZA,110110016,Otros,2490.155300485,206.173905806972
9,9,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,EL ÁGUILA-P. PRADO, ,2464.80195941, ,1,PÚBLICO,PLAZA,110110033,Otros,2464.801959405,263.396478080505
10,10,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,CHIPANA-C DRAGÓN, ,2021.68741744, ,1,PÚBLICO,PLAZA,110110034,Otros,2021.687417435,336.710301855622
11,11,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,CERRO DRAGÓN-FREY MONTALVA, ,1038.56577018, ,1,PÚBLICO,PLAZA,110110035,Otros,1038.5657702,202.467003499125
12,12,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,LA JUAN FERNÁNDEZ, ,2167.94659098, ,1,PÚBLICO,PLAZA,110110036,Otros,2167.946591005,214.856363938838
13,13,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,SALVADOR  ALLENDE-A CASTILLO, ,583.40840307, ,1,PÚBLICO,PLAZA,110110037,Otros,583.40840308,105.269274167492
14,14,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,OASIS, ,659.83883607, ,1,PÚBLICO,PLAZA,110110038,Otros,659.83883607,102.75026784853
15,15,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA, , ,2711.913536, ,1,PÚBLICO,PLAZA,110110039,Otros,2711.913536,358.890904868724
16,16,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA, , ,493.22639531, ,1,PÚBLICO,PLAZA,110110040,Otros,493.22639531,101.886445846055
17,17,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,CARAMPAGNE, ,565.218725, ,1,PÚBLICO,PLAZA,110110042,Otros,565.218725,95.5040453121916
18,18,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,TENIENTE IBÁÑEZ, ,1917.54575812, ,1,PÚBLICO,PLAZA,110110043,Otros,1917.545758115,190.708118543107
19,19,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,LA CANTERA, ,535.26022837, ,1,PÚBLICO,PLAZA,110110050,Otros,535.260228355,110.406567642583
