OBJECTID,NOMBRE,DIRECCION,SUPERFICIE,PROPIEDAD_TERRENO,DETALLE_PROPIEDAD,ROL,USO_AREA_VERDE,DETALLE_USO_AREA_VERDE,AGNO_APERTURA,COSTO_CONSTRUCCION,FUENTE_FINANCIAMIENTO,DETALLE_FUENTE_FINANCIAMIENTO,ADMINISTRACION,DETALLE_ADMINISTRACION,COSTO_ANUAL_MANTENCION,SUMINISTRO_RIEGO,DETALLE_RIEGO,CONEXION_RED_AGUA,BAÑOS_ASISTENTES,BAÑOS_TRABAJADORES,NIVEL_CONSOLIDACION,TIPO_ACCESO_PUBLICO,COSTO_INGRESO,JUEGOS_INFANTILES,CANCHA_FUTBOL,MULTICANCHA,MAQUINAS_EJERCICIOS,ZONA_PICNIC,OTROS_EQUIPAMIENTOS,ESTACIONAMIENTOS_DISCAPACITADOS,BAÑO_DISCAPACITADOS,RUTA_ACCESIBLE,JUEGOS_ACCESIBLES,OBSERVACIONES,Capa,Programa,COM,REGION,PROVINCIA,Shape_Length,Shape_Area
1,CAMPING DE PISAGUA,PISAGUA S/N,18751.51688274,MIXTO,CONCESIÓN MARÍTIMA,No hay Registro,No,AGRÍCOLA,1993,38000000,GORE,No Hay Registro,MUNICIPAL, ,3300000,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,CONSTRUIDOS,REGULAR CONSOLIDACION,GRATUITO,0,No,No,No,No,No,"COMEDOR, ESTACIONAMIENTO IN SITU NO FORMALIZADO",No,No,No,No,EL COSTO DE MANTENCIÓN INFORMADO ES DE ACUERDO AL CATASTRO DE PARQUES AÑO 2012,Catastro Nacional de Parques Urbanos,Parques Urbanos,01404,01,014,0.00650141296294103,1.61520009154813e-06
2,PARQUE BALMACEDA,AVENIDA ARTURO PRAT ENTRE CALLE J. J. PEREZ Y CALLE J. M. CARRERA,18885.47129471,MUNICIPAL, ,No hay Registro,Sí, ,2006,1900000000,GORE, ,MUNICIPAL, ,110796000,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,"CICLOVÍA, PERGOLA",No,No,No,No,EL COSTO DE MANTENCIÓN INFORMADO ES DE ACUERDO AL CATASTRO DE PARQUES AÑO 2012,Catastro Nacional de Parques Urbanos,Parques Urbanos,01101,01,011,0.0117774920746314,1.63319433430614e-06
3,PARQUE CAVANCHA,AVENIDA ARTURO PRAT ENTRE CALLE J. M. CARRERA Y AVENIDA TADEO HAENKE,142838.11729769,MUNICIPAL, ,No hay Registro,Sí, ,2000,1144000000,MIXTO,"Municipal, GORE",MUNICIPAL, ,172884,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,No,No,No,No,No,"PLAYA INCLUSIVA, CICLOVÍA, PARQUE TEMATICO DE ANIMALES EXOTICOS",Sí,No,Sí,No,EL COSTO DE MANTENCIÓN INFORMADO ES DE ACUERDO AL CATASTRO DE PARQUES AÑO 2012,Catastro Nacional de Parques Urbanos,Parques Urbanos,01101,01,011,0.0272140001233293,1.23530531580493e-05
4,PARQUE PLAYA BRAVA,AVENIDA ARTURO PRAT (ENTRE STA. COLOMA DE FAMES Y AVENIDA RAMON PEREZ OPAZO),85479.2427847,B.N.U.P, ,No hay Registro,Sí, ,0,0, , ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,REGULAR CONSOLIDACION,GRATUITO,0,Sí,No,Sí,Sí,No, ,Sí,No, , , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,01101,01,011,0.0494199650120968,7.39312004795569e-06
5,PARQUE DEL NIÑO,CALLE CASCADA INTERSECTA CON CALLE COMERCIO,7483.72786336,MUNICIPAL, ,No hay Registro,No,EQUIPAMIENTO,2005,77573789,GORE, ,MUNICIPAL, ,27726980,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,CONSTRUIDOS,REGULAR CONSOLIDACION,GRATUITO,0,Sí,No,No,No,No,SKATE PARK,No,Sí,Sí,No,"EL AÑO DE APERTURA ES APROXIMADO, EL COSTO DE CONSTRUCCIÓN ES DE UN MEJORAMIENTO REALIZADO EL AÑO 2014. NO POSEEMOS REGISTROS DEL ROL.",Catastro Nacional de Parques Urbanos,Parques Urbanos,01401,01,014,0.00338540581957356,6.47412717049546e-07
6,PLAZA LAS DUNAS,CALLE PAMPA GERMANIA INTERSECTA CON CALLE NEBRASKA,5621.67413428,MUNICIPAL, ,No hay Registro,Sí, ,1997,25497690,GORE, ,MUNICIPAL, ,8175152,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,REGULAR CONSOLIDACION,GRATUITO,0,Sí,No,Sí,Sí,No, ,No,No,Sí,No,"EL COSTO DE CONSTRUCCIÓN ES DE UN MEJORAMIENTO REALIZADO EN EL AÑO 2008, EL AÑO DE APERTURA ES APROXIMADO. NO HAY REGISTRO DEL ROL.",Catastro Nacional de Parques Urbanos,Parques Urbanos,01401,01,014,0.00307800469911798,4.86344428935214e-07
7,PLAZA PABLO NERUDA,CALLE ALDUNATE INTERSECTA CON PASAJE SAN ISIDRO,6707.65735986,MUNICIPAL, ,No hay Registro,Sí, ,2002,56884200,GORE, ,MUNICIPAL, ,13692682,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,REGULAR CONSOLIDACION,GRATUITO,0,Sí,No,No,Sí,No, ,No,No,Sí,No,"EL COSTO DE CONSTRUCCIÓN ES DE UN MEJORAMIENTO REALIZADO EL 2008, EL AÑO DE APERTURA ES APROXIMADO. NO HAY REGISTROS DEL ROL.",Catastro Nacional de Parques Urbanos,Parques Urbanos,01401,01,014,0.00312406588387766,5.80305688815885e-07
8,PLAZA LAS AMÉRICAS,AVENIDA LAS AMÉRICAS,5551.26987183,B.N.U.P,,No hay Registro,Sí,,2016,408336000,GORE,,MUNICIPAL,,17000000,MEDIDOR AGUA POTABLE,,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,,Sí,No,No,Sí,No,MESAS DE AJEDREZ,No,No,Sí,No,,Catastro Nacional de Parques Urbanos,Parques Urbanos,01107,01,011,0.00316530246907616,4.80258646906961e-07
9,PLAZA DE ARMAS,LOS ALAMOS CON AVENIDA RAMÓN PEREZ OPAZO,5572.50617857,B.N.U.P,,No hay Registro,Sí,,0,0,GORE,,MUNICIPAL,,17000000,MEDIDOR AGUA POTABLE,,Sí,CONSTRUIDOS,NO HAY,CONSOLIDADO,GRATUITO,,Sí,No,No,Sí,No,,No,No,No,No,"NO SE TIENE CONOCIMIENTO DEL AÑO DE CONSTRUCCIÓN, YA QUE SE CONSTITUIA LA COMUNA DE ALTO HOSPICIO, TAMPOCO EL COSTO DE CONSTRUCCIÓN.",Catastro Nacional de Parques Urbanos,Parques Urbanos,01107,01,011,0.00281225131018504,4.82046611838986e-07
10,PLAZA DIAGONAL O'HIGGINS,CALLE GUIDO FLEMING PEREZ,7116.88713842,B.N.U.P, , ,Sí, ,2010,414408000,GORE, ,MUNICIPAL, ,735750,CAMION ALJIBE, ,No,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,Sí,Sí,No,NINGUNO,Sí,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,02102,02,021,0.00648135547044469,6.27465924104193e-07
