Id_Comuna;Mujeres empleadas;Mujeres desempleadas;Hombres empleados;Hombres desempleados;Total empleados;Total desempleados
15101;40432;3342;55346;4468;95778;7810
15102;272;10;504;13;776;23
15201;396;22;1505;57;1901;79
15202;107;3;277;13;384;16
1101;200000;200000;200000;200000;400000;400000
1107;18296;1548;25809;2556;44105;4104
1401;2303;208;5490;435;7793;643
1403;332;21;630;29;962;50
1402;232;11;376;13;608;24
1405;1249;50;5296;141;6545;191
1404;504;26;892;52;1396;78
2101;65280;5735;99504;8761;164784;14496
2102;1959;155;5463;315;7422;470
2103;1196;28;8297;105;9493;133
2104;1993;146;4774;244;6767;390
2201;27941;2456;48110;4397;76051;6853
2202;61;1;146;5;207;6
2203;2600;96;4408;150;7008;246
2301;3846;420;5993;831;9839;1251
2302;1003;45;3084;147;4087;192
3101;23917;2263;39629;4153;63546;6416
3102;2974;217;5058;376;8032;593
3103;1467;239;4451;553;5918;792
3201;1618;232;3161;378;4779;610
3202;1894;193;4383;427;6277;620
3301;8502;783;12584;1817;21086;2600
3302;618;74;1570;182;2188;256
3303;995;109;1888;178;2883;287
3304;1642;134;2826;299;4468;433
4101;37816;3385;50368;5408;88184;8793
4102;38211;3490;55205;5388;93416;8878
4103;1322;113;2630;419;3952;532
4104;563;30;1193;129;1756;159
4105;844;63;1285;109;2129;172
4106;4091;370;7172;677;11263;1047
4201;4814;427;7332;763;12146;1190
4202;1088;77;2084;220;3172;297
4203;3552;225;6238;437;9790;662
4204;4393;375;9314;712;13707;1087
4301;18409;1440;27485;2272;45894;3712
4302;1758;111;3337;299;5095;410
4303;4153;381;7916;747;12069;1128
4304;1272;120;2563;212;3835;332
4305;568;42;1108;114;1676;156
5101;56451;4173;74901;5503;131352;9676
5102;4651;321;7620;439;12271;760
5103;8465;537;10966;759;19431;1296
5104;195;4;352;14;547;18
5105;3103;204;5029;381;8132;585
5107;5276;380;8048;745;13324;1125
5109;66366;4563;83102;5943;149468;10506
5201;2299;47;2483;32;4782;79
5301;11844;899;18598;1444;30442;2343
5302;2478;170;3919;312;6397;482
5303;1783;133;2775;203;4558;336
5304;3086;219;5007;390;8093;609
5401;6247;418;9370;724;15617;1142
5402;2838;185;4881;404;7719;589
5403;1124;75;2085;114;3209;189
5404;1644;98;2452;252;4096;350
5405;1334;79;2207;141;3541;220
5501;16280;1250;23303;1598;39583;2848
5502;8089;732;12339;1255;20428;1987
5503;2803;151;5096;279;7899;430
5504;4070;249;5684;355;9754;604
5506;3036;285;5451;549;8487;834
5601;16458;1177;23810;1755;40268;2932
5602;2542;125;3651;200;6193;325
5603;3641;315;5742;489;9383;804
5604;2709;210;3934;298;6643;508
5605;2066;179;3317;309;5383;488
5606;1901;119;3204;134;5105;253
5701;14533;1210;20110;1455;34643;2665
5702;2089;141;3799;247;5888;388
5703;4031;319;6587;468;10618;787
5704;1129;70;2121;110;3250;180
5705;2653;210;4194;367;6847;577
5706;2650;210;4154;275;6804;485
5801;28481;2228;36599;2756;65080;4984
5802;7933;547;11461;753;19394;1300
5803;2895;171;4594;299;7489;470
5804;23307;1823;30382;2332;53689;4155
13101;114639;7876;137698;7681;252337;15557
13102;15989;1262;21952;1740;37941;3002
13103;24961;2059;36125;3213;61086;5272
13104;25250;2072;34350;2835;59600;4907
13105;30226;2408;42878;3904;73104;6312
13106;32341;2861;44062;3616;76403;6477
13107;19981;1317;25325;1999;45306;3316
13108;24557;1878;30360;2070;54917;3948
13109;19296;1336;24241;1717;43537;3053
13110;79380;5573;98024;7306;177404;12879
13111;22390;1725;31496;2696;53886;4421
13112;31201;2611;45916;4678;77117;7289
13113;21986;1186;23583;1247;45569;2433
