Unidad territorial, Variable, 2022
General Lagos (Región de Arica y Parinacota), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 23.0
Putre (Región de Arica y Parinacota), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 64.0
Arica (Región de Arica y Parinacota), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 59402.0
Camarones (Región de Arica y Parinacota), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 31.0
Colchane, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 43.0
Camiña, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 26.0
Huara, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 66.0
Iquique, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 58031.0
Pozo Almonte, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1762.0
Alto Hospicio, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 21144.0
Pica, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 143.0
Ollagüe, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 3.0
Tocopilla, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 6615.0
María Elena, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 283.0
Calama, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 47197.0
Sierra Gorda, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 168.0
San Pedro De Atacama, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 488.0
Mejillones, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 2494.0
Antofagasta, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 114943.0
Taltal, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1270.0
Chañaral, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 724.0
Diego De Almagro, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1463.0
Caldera, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 3213.0
Isla De Pascua, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 552.0
Copiapó, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 43379.0
Tierra Amarilla, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 574.0
Huasco, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 329.0
Freirina, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 181.0
Vallenar, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 12021.0
