Unidad territorial, Variable, 2022
General Lagos (Región de Arica y Parinacota), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 21.0
Putre (Región de Arica y Parinacota), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 81.0
Arica (Región de Arica y Parinacota), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 28945.0
Camarones (Región de Arica y Parinacota), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 96.0
Colchane, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 27.0
Camiña, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 109.0
Huara, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 292.0
Iquique, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 30672.0
Pozo Almonte, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1723.0
Alto Hospicio, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 9975.0
Pica, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 938.0
Ollagüe, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 67.0
Tocopilla, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 4070.0
María Elena, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 764.0
Calama, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 32130.0
Sierra Gorda, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 636.0
San Pedro De Atacama, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2087.0
Mejillones, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1357.0
Antofagasta, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 73947.0
Taltal, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2682.0
Chañaral, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2682.0
Diego De Almagro, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2459.0
Caldera, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 5134.0
Isla De Pascua, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 3.0
Copiapó, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 26654.0
Tierra Amarilla, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1989.0
Huasco, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2511.0
Freirina, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1664.0
Vallenar, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 7684.0
Alto Del Carmen, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 949.0
La Higuera, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1076.0
La Serena, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 42637.0
Coquimbo, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 42587.0
Paiguano, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1163.0
Vicuña, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 4508.0
Andacollo, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1057.0
Río Hurtado, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 816.0
Ovalle, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 21251.0
Monte Patria, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 4649.0
Punitaqui, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1689.0
Combarbalá, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2052.0
